iter	Passed	Remaining
1088	8586	3240
1089	8593	3232
1090	8599	3223
1091	8605	3215
1092	8612	3206
1093	8619	3198
1094	8626	3190
1095	8633	3182
1096	8640	3174
1097	8647	3165
1098	8654	3157
1099	8660	3149
1100	8667	3141
1101	8677	3134
1102	8690	3128
1103	8700	3120
1104	8709	3113
1105	8718	3105
1106	8726	3098
1107	8738	3091
1108	8751	3085
1109	8759	3077
1110	8768	3070
1111	8777	3062
1112	8785	3054
1113	8793	3047
1114	8802	3039
1115	8811	3031
1116	8819	3023
1117	8826	3015
1118	8833	3007
1119	8841	2999
1120	8849	2991
1121	8857	2984
1122	8864	2975
1123	8871	2967
1124	8878	2959
1125	8885	2951
1126	8892	2942
1127	8897	2934
1128	8904	2925
1129	8912	2918
1130	8926	2912
1131	8934	2904
1132	8940	2896
1133	8947	2887
1134	8956	2880
1135	8962	2871
1136	8969	2863
1137	8975	2855
1138	8981	2846
1139	8987	2838
1140	8993	2829
1141	9002	2822
1142	9014	2815
1143	9031	2810
1144	9037	2801
1145	9044	2793
1146	9050	2785
1147	9056	2776
1148	9063	2768
1149	9071	2760
1150	9077	2752
1151	9084	2744
1152	9091	2736
1153	9097	2727
1154	9102	2719
1155	9109	2710
1156	9115	2702
1157	9121	2693
1158	9128	2685
1159	9134	2677
1160	9140	2669
1161	9147	2660
1162	9153	2652
1163	9160	2644
1164	9166	2635
1165	9174	2627
1166	9179	2619
1167	9186	2611
1168	9194	2603
1169	9201	2595
1170	9210	2587
1171	9216	2579
1172	9224	2571
1173	9231	2563
1174	9237	2555
1175	9244	2547
1176	9251	2538
1177	9258	2530
1178	9264	2522
1179	9270	2514
1180	9277	2505
1181	9284	2497
1182	9291	2489
1183	9297	2481
1184	9304	2473
1185	9311	2465
1186	9317	2457
1187	9324	2448
1188	9332	2441
1189	9338	2432
1190	9345	2424
1191	9351	2416
1192	9359	2408
1193	9368	2400
1194	9377	2393
1195	9386	2385
1196	9393	2377
1197	9400	2369
1198	9419	2364
1199	9427	2356
1200	9434	2348
1201	9443	2341
1202	9458	2335
1203	9467	2327
1204	9475	2319
1205	9482	2311
1206	9489	2303
1207	9496	2295
1208	9502	2287
1209	9507	2278
1210	9513	2270
1211	9519	2261
1212	9525	2253
1213	9531	2245
1214	9536	2237
1215	9543	2228
1216	9549	2220
1217	9556	2212
1218	9562	2204
1219	9568	2196
1220	9574	2187
1221	9580	2179
1222	9587	2171
1223	9593	2163
1224	9600	2155
1225	9606	2147
1226	9612	2138
1227	9618	2130
1228	9626	2122
1229	9632	2114
1230	9641	2106
1231	9649	2099
1232	9657	2091
1233	9666	2083
1234	9675	2076
1235	9685	2068
1236	9694	2061
1237	9705	2054
1238	9716	2046
1239	9730	2040
1240	9743	2033
1241	9754	2026
1242	9764	2018
1243	9775	2011
1244	9783	2003
1245	9801	1998
1246	9809	1990
1247	9820	1983
1248	9837	1976
1249	9849	1969
1250	9858	1962
1251	9866	1954
1252	9873	1946
1253	9882	1938
1254	9891	1931
1255	9911	1925
1256	9918	1917
1257	9927	1909
1258	9939	1902
1259	9950	1895
1260	9958	1887
1261	9966	1879
1262	9973	1871
1263	9983	1863
1264	9992	1856
1265	10001	1848
1266	10009	1840
1267	10017	1832
1268	10024	1824
1269	10032	1816
1270	10040	1809
1271	10049	1801
1272	10057	1793
1273	10065	1785
1274	10074	1777
1275	10086	1770
1276	10095	1763
1277	10104	1755
1278	10112	1747
1279	10120	1739
1280	10128	1731
1281	10136	1723
1282	10144	1715
1283	10154	1708
1284	10163	1700
1285	10171	1692
1286	10179	1684
1287	10187	1676
1288	10195	1668
1289	10205	1661
1290	10213	1653
1291	10220	1645
1292	10229	1637
1293	10240	1630
1294	10248	1622
1295	10256	1614
1296	10264	1606
1297	10271	1598
1298	10279	1590
1299	10286	1582
1300	10293	1574
1301	10301	1566
1302	10310	1558
1303	10316	1550
1304	10325	1542
1305	10332	1534
1306	10339	1526
1307	10345	1518
1308	10352	1510
1309	10358	1502
1310	10364	1494
1311	10370	1486
1312	10376	1477
1313	10390	1470
1314	10398	1462
1315	10406	1455
1316	10413	1446
1317	10421	1439
1318	10429	1431
1319	10437	1423
1320	10444	1415
1321	10451	1407
1322	10458	1399
1323	10465	1391
1324	10472	1383
1325	10478	1374
